dD,P,row
0.25,0.075,1
0.3,0.08,1
0.35,0.09,2
0.4,0.1,1
0.45,0.1,2
0.5,0.125,1
0.55,0.125,2
0.6,0.15,1
0.7,0.175,2
0.8,0.2,1
0.9,0.225,2
1,0.25/0.2,1
1.1,0.25/0.2,2
1.2,0.25/0.2,1
1.4,0.3/0.2,2
1.6,0.35/0.2,1
1.8,0.35/0.2,2
2,0.4/0.25,1
2.2,0.45/0.25,2
2.5,0.45/0.25,1
3,0.5/0.35,1
3.5,0.6/0.35,2
4,0.7/0.5,1
4.5,0.75/0.5,2
5,0.8/0.5,1
5.5,0.5,3
6,1/0.75/0.5,1
7,1/0.75/0.5,2
8,1.25/1/0.75/0.5,1
9,1.25/1/0.75/0.5,3
10,1.5/1.25/1/0.75/0.5,1
11,1.5/1/0.75/0.5,3
12,1.75/1.5/1.25/1/0.75/0.5,1
14,2/1.5/1.25/1/0.75/0.5,2
15,1.5/1,3
16,2/1.5/1/0.75/0.5,1
17,1.5/1,3
18,2.5/2/1.5/1/0.75/0.5,2
20,2.5/2/1.5/1/0.75/0.5,1
22,2.5/2/1.5/1/0.75/0.5,2
24,3/2/1.5/1/0.75,1
25,2/1.5/1,3
26,1.5,3
27,3/2/1.5/1/0.75,2
28,2/1.5/1,3
30,3.5/3/2/1.5/1/0.75,1
32,2/1.5,3
33,3.5/3/2/1.5/1/0.75,2
35,1.5,3
36,4/3/2/1.5/1,1
38,1.5,3
39,4/3/2/1.5/1,2
40,3/2/1.5,3
42,4.5/4/3/2/1.5/1,1
45,4.5/4/3/2/1.5/1,2
48,5/4/3/2/1.5/1,1
50,3/2/1.5,3
52,5/4/3/2/1.5/1,2
55,4/3/2/1.5,3
56,5.5/4/3/2/1.5/1,1
58,4/3/2/1.5,3
60,5.5/4/3/2/1.5/1,2
62,4/3/2/1.5,3
64,6/4/3/2/1.5/1,1
65,4/3/2/1.5,3
68,6/4/3/2/1.5/1,2
70,6/4/3/2/1.5,3
72,6/4/3/2/1.5/1,1
75,4/3/2/1.5,3
76,6/4/3/2/1.5/1,2
78,2,3
80,6/4/3/2/1.5/1,1
82,2,3
85,6/4/3/2/1.5,2
90,6/4/3/2/1.5,1
95,6/4/3/2/1.5,2
100,6/4/3/2/1.5,1
105,6/4/3/2/1.5,2
110,6/4/3/2/1.5,1
115,6/4/3/2/1.5,2
120,6/4/3/2/1.5,2
125,8/6/4/3/2/1.5,1
130,8/6/4/3/2/1.5,2
135,6/4/3/2/1.5,3
140,8/6/4/3/2/1.5,1
145,6/4/3/2/1.5,3
150,8/6/4/3/2/1.5,2
155,6/4/3/2,3
160,8/6/4/3/2,1
165,6/4/3/2,3
170,8/6/4/3/2,2
175,6/4/3/2,3
180,8/6/4/3/2,1
185,6/4/3/2,3
190,8/6/4/3/2,2
195,6/4/3/2,3
200,8/6/4/3/2,1
205,6/4/3,3
210,8/6/4/3,2
215,6/4/3,3
220,8/6/4/3,1
225,6/4/3,3
230,8/6/4/3,3
235,6/4/3,3
240,8/6/4/3,2
245,6/4/3,3
250,8/6/4/3,1
255,6/4/3,3
260,8/6/4/3,2
265,6/4/3,3
270,8/6/4/3,3
275,6/4/3,3
280,8/6/4/3,1
285,6/4/3,3
290,8/6/4/3,3
295,6/4/3,3
300,8/6/4/3,2
310,6/4/3,3
320,8/6/4,1
330,6/4,3
340,8/6/4,2
350,6/4,3
360,8/6/4,1
370,6/4,3
380,8/6/4,2
390,6/4,3
400,8/6/4,1
410,6,3
420,8/6,2
430,6,3
440,8/6,1
450,6,3
460,8/6,2
470,6,3
480,8/6,1
490,6,3
500,8/6,2
510,6,3
520,8/6,1
530,6,3
540,8/6,2
550,6,3
560,8/6,1
570,6,3
580,8/6,2
590,6,3
600,8/6,1
