P,x,a,f,R,R1,df,z
0.2,0.5/0.3,1.2/1,2/1,0.5/0.3,0.3/0.2,0.3,0.2
0.25,0.6/0.4,1.5/1.2,2/1,0.5/0.3,0.3/0.2,0.3,0.2
0.3,0.7/0.5,1.5/1.2,2/1,0.5/0.3,0.3/0.2,0.3,0.2
0.35,0.8/0.5,2/1.8,2/1,0.5/0.3,0.3/0.2,0.3,0.2
0.4,0.9/0.6,2/1.8,2/1,0.5/0.3,0.3/0.2,0.3,0.3
0.45,1.1/0.7,2/1.8,2/1,0.5/0.3,0.3/0.2,0.3,0.3
0.5,1.2/0.8,3.5/3,2/1,0.5/0.3,0.3/0.2,0.3,0.5
0.6,1.5/1,3.5/3,2/1,0.5/0.3,0.3/0.2,0.3,0.5
0.7,1.8/1.2,3.5/3,2/1,0.5/0.3,0.3/0.2,0.3,0.5
0.75,1.9/1.3,4/3.2,3/1.6,1/0.5,0.5/0.3,0.4,1
0.8,2.1/1.4,4/3.2,3/1.6,1/0.5,0.5/0.3,0.4,1
1,2.7/1.8,5/3.8,4/2,1/0.5,0.5/0.3,0.5,1
1.25,3.3/2.2,5/3.8,5/3,1.6/1,0.5,0.5,1.6
1.5,4/2.7,6/4.5,6/3,1.6/1,1/0.5,0.7,1.6
1.75,4.7/3.2,7/5.2,7/4,1.6/1,1/0.5,0.7,1.6
2,5.5/3.7,8/6,8/4,2/1,1/0.5,1,2
2.5,7/4.7,10/7.5,10/5,3/1.6,1/0.5,1,2.5
3,5.7,9,10/6,3/1.6,1,1.2,2.5
3.5,6.6,10.5,10/7,3/1.6,1,1.2,3
4,7.6,12.5,12/8,3/2,1,1.5,3
4.5,8.5,14,14/10,3,1,1.5,4
5,9.5,16,16/10,3,1,1.8,4
5.5,9.5,16,16/12,3,1,1.8,4
6,9.5,16,16/12,3,1,2,4
